Aleksandr
Bogatov
d00db7a12947d05f5deca2e04ce199a5
[24.4.2022 | 22:48:32] {"type":"cmd","data":"run"}
,[24.4.2022 | 22:48:33] {"client-id":"f0257f13-8326-4869-bab7-b27ba207aed5","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2022 | 22:48:33] {"client-id":"f0257f13-8326-4869-bab7-b27ba207aed5","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2022 | 22:48:33] {"client-id":"f0257f13-8326-4869-bab7-b27ba207aed5","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2022 | 22:48:33] {"client-id":"f0257f13-8326-4869-bab7-b27ba207aed5","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2022 | 22:48:33] {"client-id":"f0257f13-8326-4869-bab7-b27ba207aed5","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2022 | 22:48:33] {"client-id":"f0257f13-8326-4869-bab7-b27ba207aed5","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2022 | 22:48:33] {"client-id":"f0257f13-8326-4869-bab7-b27ba207aed5","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2022 | 22:48:33] {"client-id":"f0257f13-8326-4869-bab7-b27ba207aed5","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2022 | 22:48:33] {"client-id":"f0257f13-8326-4869-bab7-b27ba207aed5","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2022 | 22:48:33] {"client-id":"f0257f13-8326-4869-bab7-b27ba207aed5","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2022 | 22:48:34] {"client-id":"f0257f13-8326-4869-bab7-b27ba207aed5","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2022 | 22:48:34] {"client-id":"f0257f13-8326-4869-bab7-b27ba207aed5","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2022 | 22:48:34] {"client-id":"f0257f13-8326-4869-bab7-b27ba207aed5","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2022 | 22:48:34] {"client-id":"f0257f13-8326-4869-bab7-b27ba207aed5","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
